Año,Trimestre,Provincia,Accesos por cada 100 hogares,KPI_Aumento_Acceso,Cumple_Meta_2%,Año_Trimestre
2022,3,Mendoza,51.03,3.3205102247418514,True,2022-T3
2022,4,Mendoza,51.36,0.6466784244561988,False,2022-T4
2023,1,Mendoza,51.4,0.07788161993769305,False,2023-T1
2023,2,Mendoza,52.09,1.3424124513618771,False,2023-T2
2023,3,Mendoza,52.03,-0.11518525628719961,False,2023-T3
2023,4,Mendoza,52.15,0.23063617143954918,False,2023-T4
2024,1,Mendoza,52.59,0.84372003835092,False,2024-T1
2024,2,Mendoza,52.3,-0.5514356341509912,False,2024-T2
2014,1,Misiones,23.1365386484773,,False,2014-T1
2014,2,Misiones,23.3677476012998,0.9993238674779861,False,2014-T2
2014,3,Misiones,23.5673569543455,0.8542087857650223,False,2014-T3
2014,4,Misiones,24.1624306055883,2.5249910390697248,True,2014-T4
2015,1,Misiones,26.3056041051906,8.869858892038069,True,2015-T1
2015,2,Misiones,27.3476824488217,3.961430953891222,True,2015-T2
2015,3,Misiones,28.3063450934369,3.5054621041809844,True,2015-T3
2015,4,Misiones,28.6866588915424,1.3435637728930265,False,2015-T4
2016,1,Misiones,28.3676525909563,-1.1120371382118381,False,2016-T1
2016,2,Misiones,29.239512823022,3.073431011854861,True,2016-T2
2016,3,Misiones,29.9053857758982,2.2773052236079607,True,2016-T3
2016,4,Misiones,29.7201498077974,-0.6194067165322656,False,2016-T4
2017,1,Misiones,29.522202363131,-0.6660378428323637,False,2017-T1
2017,2,Misiones,30.0892480250859,1.9207430901668054,False,2017-T2
2017,3,Misiones,30.2059909330319,0.38798878539160353,False,2017-T3
2017,4,Misiones,31.1421848537985,3.0993650327254216,True,2017-T4
2018,1,Misiones,30.9567358844696,-0.5954911969070765,False,2018-T1
2018,2,Misiones,31.6309076822218,2.177787090564729,True,2018-T2
2018,3,Misiones,32.103666418059,1.494610083867162,False,2018-T3
2018,4,Misiones,34.4507488777944,7.310948317152708,True,2018-T4
2019,1,Misiones,36.2571682655235,5.243483658764353,True,2019-T1
2019,2,Misiones,39.1461255416994,7.967961686966535,True,2019-T2
2019,3,Misiones,39.3329298674438,0.47719748291670866,False,2019-T3
2019,4,Misiones,39.7892368404862,1.1601143738343374,False,2019-T4
2020,1,Misiones,39.018347551712,-1.9374317026101067,False,2020-T1
2020,2,Misiones,40.8877960096961,4.791203562648262,True,2020-T2
2020,3,Misiones,41.6044862854486,1.7528219803839329,False,2020-T3
2020,4,Misiones,42.6441141611923,2.4988359875682757,True,2020-T4
2021,1,Misiones,43.1724389059718,1.238915979782031,False,2021-T1
2021,2,Misiones,45.0128113119994,4.26284095284927,True,2021-T2
2021,3,Misiones,45.5706536580879,1.2392968353429437,False,2021-T3
